,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster
45,AL QOUZ IND.FOURTH,369,4689056.9365,8718.60800086,25.116064362470656,55.23313467247366,38,5,3,140,11,65,76,16,128,50,2
46,AL KIFAF,324,795645.972999,4051.71075523,25.23442687328821,55.29699494362937,45,23,4,228,104,87,164,25,83,123,0
47,AL NAHDA FIRST,231,1696333.8623600001,7263.66566496,25.29015944157323,55.36426152433569,8,15,1,140,10,57,69,23,80,79,3
48,AL RIGGA,119,654291.39101,3702.84455002,25.26695014795661,55.310716227939814,38,18,4,177,74,80,116,19,132,146,2
49,UMM AL SHEIF,367,1847928.47344,5469.96326248,25.13136563746466,55.20449973712785,50,17,3,117,57,95,105,18,135,108,2
50,AYAL NASIR,116,173100.0775,1686.75970564,25.274221658311586,55.30395175524322,33,12,4,107,51,63,106,18,114,154,2
51,LEHBAB SECOND,831,62307557.0067,39399.834321300004,25.027683651157915,55.56188494252486,0,0,0,3,0,4,2,0,0,0,1
52,MANKHOOL,317,1960287.9319999998,5810.5450137,25.249051047302352,55.294919143063744,45,26,4,223,105,85,157,16,109,145,0
53,WADI AL SAFA 6,664,7811939.7189,13382.279683399998,25.051177997118288,55.2717241415596,3,3,1,44,5,25,51,18,46,5,3
54,AL MERYAL,735,15458746.5814,17454.2439879,25.070311906414,55.645756361452754,0,0,0,0,0,3,0,0,0,0,1
55,AL ROWAIYAH SECOND,813,7485660.499739999,11694.680450799999,25.105291961139503,55.39808446614008,6,51,0,52,5,21,68,30,42,7,3
56,AL YALAYIS 2,922,14349077.2492,16427.2421787,24.99713070902915,55.2901316086453,0,1,0,2,0,5,2,7,5,1,1
57,AL QUSAIS IND. FIRST,242,1437921.9045,5287.92130151,25.28668888290523,55.386574853717,4,19,0,98,5,51,70,25,74,43,3
58,HESSYAN SECOND,512,51898450.1316,41905.7022796,24.93162186177311,54.94820308454422,0,0,0,16,0,0,3,0,4,2,1
59,HOR AL ANZ EAST,133,1377275.1565,4804.76205035,25.282602238762852,55.347374526209094,14,16,3,135,23,56,72,18,78,83,3
60,AL CORNICHE,111,611325.1339029999,3960.31529984,25.277837157981683,55.30255685689298,29,10,4,125,52,60,90,17,101,147,2
61,WADI AL SAFA 3,645,30192055.8013,29186.4146517,25.10811460152823,55.31549372007481,7,1,0,15,1,8,4,8,3,3,1
62,AL QOUZ IND.THIRD,368,4402947.392,8766.27347181,25.125754536447676,55.21798387584786,48,15,3,135,50,94,111,17,145,97,2
63,SAIH AL DAHAL,971,190161473.462,68235.0122663,24.73651382193881,55.42080078414522,0,0,0,0,0,0,0,0,0,0,1
64,NADD AL SHIBA FOURTH,617,6169341.6421,10239.581805,25.136203182072805,55.36420889065845,4,7,0,27,4,19,56,17,31,3,1
65,WADI AL SAFA 2,643,10531420.0915,13742.5327314,25.10044847275232,55.35289987571095,4,25,0,38,5,10,25,19,24,5,1
66,HATTA,891,128751709.74200001,53110.4733717,24.81021325439707,56.13918037702839,0,0,0,9,0,5,6,0,4,4,1
67,UMM SUQEIM THIRD,366,2605935.23264,8209.10763688,25.138900227682253,55.19355171658943,49,16,0,112,54,90,109,17,133,109,2
68,GRAYTEESAH,941,91826478.8812,41094.5229103,24.855344455914864,55.514949491449954,0,0,0,0,0,1,0,0,0,0,1
69,AL QOUZ SECOND,355,5324591.09775,9575.22812838,25.150970364664346,55.271131354242286,6,3,0,46,16,30,33,14,21,13,1
70,AL YALAYIS 3,923,12340311.9043,16043.272398899999,24.97341888812417,55.34571461438204,0,0,1,0,0,10,1,0,1,0,1
71,AL WAJEHA AL BAHRIAH,502,124735324.01,49534.3111447,24.989467989214358,54.90485047873428,0,0,0,0,0,0,0,0,0,0,1
72,YARAAH,861,76472908.38,37281.55931100001,24.764473462984448,55.67104849881567,0,0,0,0,0,0,0,0,0,0,1
73,OUD METHA,319,1515958.3365,5255.198421600001,25.23759763419334,55.312227103650386,44,27,2,181,90,92,157,18,114,145,2
74,MUHAISANAH THIRD,244,1753300.7565,5783.03483409,25.271802551224013,55.4042750072505,3,18,0,96,11,30,61,13,53,23,3
75,NADD HESSA,626,9804465.2285,13833.158974099999,25.124325353925425,55.3862682649525,9,52,0,51,4,20,72,22,42,7,3
76,JUMEIRA BAY,302,990538.9212620001,8026.36895076,25.215839919611913,55.23358222609772,13,6,1,96,18,59,49,5,72,13,3
77,WARSAN FIRST,621,8426532.67816,11420.0158654,25.16521045611041,55.409833079665184,6,2,0,77,8,9,30,11,54,4,1
78,AL HEBIAH FOURTH,682,9145533.766730001,12792.8661567,25.031898465217573,55.21960996296431,6,2,5,58,9,45,60,42,72,11,3
79,AL THANYAH THIRD,388,3842456.33894,8778.52119434,25.085130469004913,55.16612470037834,21,46,6,143,86,134,160,94,84,114,0
80,AL THANYAH SECOND,384,6228059.32645,10798.3735952,25.080095478819214,55.190708337052286,4,9,5,101,31,63,69,42,47,57,3
81,SAIH SHUAIB 3,532,16041464.7557,17134.596055200003,24.84614962643613,55.07807342495038,0,0,0,1,0,0,4,0,4,2,1
82,AL HEBIAH SECOND,675,3261042.68008,7575.23809192,25.03483450172325,55.245752008937046,4,4,4,54,9,38,67,31,54,5,3
83,UMM SUQEIM SECOND,362,3190130.12461,9506.62161332,25.15139263453343,55.20282879461221,38,12,1,110,41,83,99,6,48,40,3
84,OUD AL MUTEENA THIRD,268,1369803.48,5370.23639675,25.274573445375786,55.44841835507439,3,59,0,33,2,8,43,9,33,4,3
85,AL HATHMAH,956,82256581.7113,35222.9690834,24.804128498505158,55.44939930841297,0,0,0,0,0,0,0,0,0,0,1
86,UMM AL DAMAN,824,35222549.9119,25862.296833,25.06021795894025,55.4574348917082,1,0,0,0,0,0,0,0,1,0,1
87,AL O'SHOOSH,975,58948906.1738,34673.310750699995,24.67757782168623,55.35049871778347,0,0,0,1,0,0,0,0,0,0,1
88,AL LAYAN 2,988,36997664.9578,24917.1345591,24.750236846298538,55.15620204362926,0,0,0,0,0,0,0,0,0,0,1
89,AL NAHDA SECOND,241,2211570.57,5984.62489457,25.290805442303103,55.37774308206061,8,19,0,145,10,56,75,24,72,73,3
90,WADI AL SAFA 4,646,6854488.88007,12609.9513807,25.076772059343114,55.31787605928044,5,0,0,32,4,10,13,8,50,2,1
91,SAIH SHUA'ALAH,978,69543181.4311,36734.7572076,24.66047858790748,55.42137392809671,0,0,0,0,0,0,0,0,0,0,1
92,AL GARHOUD,214,4042863.6180000002,9214.88108067,25.24247054399423,55.35037842810525,21,15,3,161,66,72,112,14,99,153,2
93,MUGATRAH,981,139912555.95,49720.1863631,24.797000892740137,55.21366792810152,0,0,0,5,2,1,0,0,0,4,1
94,ENKHALI,724,44497971.6994,26462.9437086,25.112201855652014,55.56833177702232,0,0,0,0,0,0,0,0,0,0,1
95,AL THANYAH  FOURTH,394,11078799.9249,15108.0888646,25.06303047717405,55.17395787530367,4,9,6,68,13,53,70,55,53,25,3
96,NADD AL SHIBA THIRD,616,6320420.2495,9742.20627617,25.15437523524973,55.37566462903919,3,4,0,53,5,8,42,11,29,4,1
97,JUMEIRA THIRD,352,3442745.1803599996,9482.04390321,25.182763965846906,55.22887077151125,5,13,4,141,26,66,99,7,61,22,3
98,UMM SUQEIM FIRST,356,2813891.33122,7381.07465803,25.165990160979447,55.2162509166806,25,12,2,129,6,67,97,5,79,17,3
99,AL HAMRIYA,313,827901.6608640002,3797.76473153,25.26041011168857,55.30372630220169,42,20,3,209,79,83,140,20,129,152,2
100,AL YUFRAH 4,919,11784792.769000001,14299.1045949,24.96644174983876,55.38972997508228,0,0,1,0,0,12,2,0,1,0,1
101,AL JAFILIYA,323,1669479.4215,5220.96603607,25.237634589195828,55.286851176339894,44,24,5,227,94,97,160,27,89,124,0
102,AL WARQA'A SECOND,422,3563435.0165,7438.39297234,25.20285815125784,55.40894495970106,12,3,0,88,5,30,64,5,86,10,3
103,AL QUSAIS IND. SECOND,243,1728332.8155,6052.3652815,25.281653928751663,55.39318418144651,3,18,0,84,5,46,62,19,71,40,3
104,HEFAIR,991,143566502.005,51721.211182499996,24.69323690908779,55.24913951876538,0,0,0,0,0,0,0,0,0,0,1
105,WADI AL SAFA 5,648,16319666.8572,22350.6627618,25.077813653036753,55.35215431815531,5,1,0,15,3,8,3,5,6,4,1
106,AL QOUZ FOURTH,359,2238882.568,5987.09223021,25.15148111657184,55.254207927714965,23,9,2,34,5,47,62,12,53,17,3
107,AL MAHA,845,41733960.0894,34853.4645531,24.918946892346515,55.65920944721685,0,0,0,0,1,3,0,0,0,0,1
108,AL MURAQQABAT,124,1505474.7765,4867.41504145,25.265541274593378,55.32315234162383,37,16,4,240,95,77,134,19,134,152,0
109,MENA JABAL ALI,594,34842363.7324,53063.034141100004,24.98643576584331,55.06295248642717,1,4,0,46,3,3,52,1,8,8,1
110,SAIH SHUAIB 2,531,22279220.8746,19362.1472713,24.869946601727573,55.05891053676095,0,0,0,2,0,0,7,1,3,1,1
111,SAIH AL SALAM,951,88690423.3337,42842.713290499996,24.87304335470945,55.3786120990227,0,0,0,0,0,5,1,0,1,0,1
112,UMM NAHAD THIRD,913,15289681.7783,18436.7860307,25.03109830482727,55.420205143103544,1,0,0,4,0,4,2,0,3,2,1
