,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster
197,AL SHINDAGHA,311,310840.284844,3577.12151134,25.266817771100346,55.289105073477344,30,10,3,144,55,71,102,12,92,135,2
198,JABAL ALI FIRST,591,21323936.1671,19717.7186612,25.033914107916107,55.1332896658809,4,2,2,45,7,40,48,20,94,17,3
199,AL BARSHA SOUTH SECOND,672,4767353.328,9516.22108021,25.07294707600615,55.233786060020456,4,5,1,51,5,23,42,21,48,8,3
200,AL MERKADH,347,10355202.6476,14582.052042399999,25.17041080340519,55.29250216913851,29,4,2,140,75,82,75,29,149,51,2
201,AL YUFRAH 2,916,4331598.8317,8918.65464649,24.990529915711413,55.387667077034294,0,0,0,1,0,3,2,0,1,1,1
202,MADINAT DUBAI AL MELAHEYAH,321,22091345.7586,21304.9448646,25.274531182487486,55.269891923932285,19,6,3,18,20,23,43,8,49,83,3
203,AL YUFRAH 3,918,11109840.8416,17297.0212197,24.98653979498292,55.36346093712165,0,0,1,0,0,10,2,0,1,0,1
204,AL SOUQ AL KABEER,312,874944.9831709998,4433.15867152,25.262251050065988,55.29369782222706,36,17,4,166,68,77,120,17,101,138,2
205,NADD AL SHIBA FIRST,618,21673127.8304,19993.8117592,25.145974182066716,55.31671669226394,4,5,0,12,13,16,13,3,4,4,1
206,AL AWIR FIRST,711,39716134.689,35058.0810308,25.199295071803444,55.571625108265685,0,0,0,5,0,3,3,0,3,0,1
207,OUD AL MUTEENA FIRST,265,3628020.7660000003,8689.16453474,25.26400736807841,55.44543437686973,4,14,0,37,1,13,51,7,43,4,1
208,JABAL ALI SECOND,592,5059596.0639,10664.722518100001,25.05397917886128,55.11528187107477,9,5,4,119,53,76,76,54,82,74,2
209,AL WARQA'A THIRD,423,6220073.248,11601.433887700001,25.19115406509533,55.42195130791831,15,3,0,82,9,17,38,8,74,4,3
210,AL KHEERAN FIRST,415,7334275.12402,11543.4777434,25.19757845369391,55.35767521748997,4,2,1,65,10,25,39,3,58,14,3
211,AL MARMOOM,917,27326474.0172,24214.0171757,24.975619474474104,55.45176566912071,0,0,0,2,2,6,0,0,2,1,1
212,AL BARSHA SECOND,376,6411368.0465,10209.099291,25.100854397096967,55.21496955495408,16,8,2,69,22,54,73,18,137,81,3
213,JABAL ALI THIRD,593,365014170.612,122334.492899,25.12625279651073,54.947060105859975,0,0,0,0,0,0,0,0,0,0,1
214,AL KHABAISI,128,1226749.013,5559.09171857,25.268728879013747,55.3375453170401,20,15,3,202,66,71,105,17,109,158,2
215,AL MURAR,117,387711.066,2782.85204781,25.27689263146278,55.30982800574198,33,10,4,103,51,70,100,17,107,132,2
216,HADAEQ SHEIKH MOHAMMED BIN RASHID,631,38677198.8453,35079.3628178,25.098246398441137,55.2687696967083,4,3,1,7,3,3,8,3,5,4,1
217,AL HAMRIYA PORT,131,1150984.31619,5277.18258262,25.3007121182696,55.33339017915333,4,3,1,33,7,40,44,12,34,44,3
218,UMM NAHAD FOURTH,914,46008453.1147,28727.0025501,25.02653714994781,55.36669087828805,0,0,0,0,0,3,1,0,0,1,1
219,AL AWIR SECOND,721,54944834.2494,33677.9952932,25.164395222422772,55.58558308287962,0,0,0,5,0,9,2,0,2,0,1
220,AL QOUZ IND.FIRST,364,4825398.4545,8843.46006275,25.14438143561766,55.232023764551506,27,7,4,144,4,66,97,13,70,22,3
221,JUMEIRA FIRST,332,9960424.67483,15279.0784101,25.229747463436265,55.25388871626743,23,13,5,190,107,93,121,27,76,87,2
222,MEREIYEEL,821,30688142.3777,26755.1135353,25.095226482429428,55.51289656429359,0,0,0,0,0,2,0,0,0,0,1
223,PORT SAEED,129,2702123.3576599997,10392.4906323,25.25100645812056,55.33271844512805,30,24,4,210,93,83,157,19,113,180,2
224,JABAL ALI INDUSTRIAL FIRST,599,22065249.6621,19668.948471400006,24.999455158928818,55.12351891174232,0,2,0,18,3,3,47,4,11,6,1
225,WADI ALAMARDI,271,24184196.9742,20723.4293973,25.203260674757427,55.49109670874484,3,3,0,8,0,3,3,0,5,3,1
