,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital
66,HATTA,891,128751709.74200001,53110.4733717,24.81021325439707,56.13918037702839,1
67,UMM SUQEIM THIRD,366,2605935.23264,8209.10763688,25.138900227682253,55.193551716589425,5
68,GRAYTEESAH,941,91826478.8812,41094.5229103,24.855344455914864,55.514949491449954,0
69,AL QOUZ SECOND,355,5324591.09775,9575.22812838,25.150970364664346,55.271131354242286,1
70,AL YALAYIS 3,923,12340311.9043,16043.272398899999,24.97341888812417,55.34571461438204,0
71,AL WAJEHA AL BAHRIAH,502,124735324.01,49534.3111447,24.989467989214358,54.90485047873428,0
72,YARAAH,861,76472908.38,37281.559311000005,24.764473462984448,55.67104849881567,0
73,OUD METHA,319,1515958.3365,5255.198421600001,25.23759763419334,55.312227103650386,42
74,MUHAISANAH THIRD,244,1753300.7565,5783.03483409,25.271802551224013,55.4042750072505,3
75,NADD HESSA,626,9804465.2285,13833.158974099999,25.124325353925425,55.386268264952506,0
76,JUMEIRA BAY,302,990538.9212620001,8026.36895076,25.215839919611913,55.23358222609772,8
77,WARSAN FIRST,621,8426532.67816,11420.0158654,25.16521045611041,55.409833079665184,2
78,AL HEBIAH FOURTH,682,9145533.766730001,12792.8661567,25.031898465217573,55.21960996296431,1
79,AL THANYAH THIRD,388,3842456.33894,8778.52119434,25.085130469004913,55.16612470037834,9
80,AL THANYAH SECOND,384,6228059.32645,10798.3735952,25.080095478819214,55.190708337052286,5
81,SAIH SHUAIB 3,532,16041464.7557,17134.596055200003,24.84614962643613,55.07807342495038,0
82,AL HEBIAH SECOND,675,3261042.68008,7575.23809192,25.03483450172325,55.245752008937046,3
83,UMM SUQEIM SECOND,362,3190130.12461,9506.62161332,25.15139263453343,55.20282879461221,8
84,OUD AL MUTEENA THIRD,268,1369803.48,5370.23639675,25.274573445375786,55.44841835507439,2
85,AL HATHMAH,956,82256581.7113,35222.9690834,24.804128498505158,55.44939930841297,0
86,UMM AL DAMAN,824,35222549.9119,25862.296833,25.060217958940253,55.4574348917082,0
87,AL O'SHOOSH,975,58948906.1738,34673.310750699995,24.67757782168623,55.35049871778347,0
88,AL LAYAN 2,988,36997664.9578,24917.1345591,24.750236846298538,55.15620204362926,0
89,AL NAHDA SECOND,241,2211570.57,5984.62489457,25.290805442303103,55.3777430820606,11
90,WADI AL SAFA 4,646,6854488.88007,12609.9513807,25.076772059343114,55.31787605928044,0
91,SAIH SHUA'ALAH,978,69543181.4311,36734.7572076,24.66047858790748,55.42137392809671,0
92,AL GARHOUD,214,4042863.6180000002,9214.88108067,25.24247054399423,55.35037842810525,29
93,MUGATRAH,981,139912555.95,49720.1863631,24.797000892740137,55.21366792810152,0
94,ENKHALI,724,44497971.6994,26462.9437086,25.112201855652014,55.56833177702232,0
95,AL THANYAH  FOURTH,394,11078799.9249,15108.0888646,25.06303047717405,55.17395787530367,2
96,NADD AL SHIBA THIRD,616,6320420.2495,9742.20627617,25.15437523524973,55.37566462903919,2
97,JUMEIRA THIRD,352,3442745.1803599996,9482.04390321,25.182763965846906,55.22887077151125,14
98,UMM SUQEIM FIRST,356,2813891.33122,7381.07465803,25.165990160979447,55.2162509166806,14
99,AL HAMRIYA,313,827901.6608640001,3797.76473153,25.260410111688568,55.30372630220169,26
100,AL YUFRAH 4,919,11784792.769000001,14299.1045949,24.96644174983876,55.38972997508228,0
101,AL JAFILIYA,323,1669479.4215,5220.96603607,25.237634589195828,55.28685117633989,32
102,AL WARQA'A SECOND,422,3563435.0165,7438.39297234,25.20285815125784,55.40894495970106,4
103,AL QUSAIS IND. SECOND,243,1728332.8155,6052.3652815,25.281653928751663,55.39318418144651,7
104,HEFAIR,991,143566502.005,51721.211182499996,24.69323690908779,55.24913951876538,0
105,WADI AL SAFA 5,648,16319666.8572,22350.6627618,25.077813653036753,55.35215431815531,0
106,AL QOUZ FOURTH,359,2238882.568,5987.09223021,25.15148111657184,55.254207927714965,7
107,AL MAHA,845,41733960.0894,34853.4645531,24.918946892346515,55.65920944721685,0
108,AL MURAQQABAT,124,1505474.7765,4867.41504145,25.265541274593378,55.32315234162383,23
109,MENA JABAL ALI,594,34842363.7324,53063.034141100004,24.986435765843307,55.06295248642717,1
110,SAIH SHUAIB 2,531,22279220.8746,19362.1472713,24.869946601727573,55.05891053676095,0
111,SAIH AL SALAM,951,88690423.3337,42842.713290499996,24.87304335470945,55.3786120990227,0
112,UMM NAHAD THIRD,913,15289681.7783,18436.7860307,25.03109830482727,55.420205143103544,0
113,AL YALAYIS 1,921,17795916.9415,17470.9032612,25.01789354651752,55.309760200784766,0
114,NAKHLAT DEIRA,101,99617653.635,43895.4066745,25.338911611952394,55.26261953434848,0
115,SAIH SHUAIB 1,513,41613301.4166,28211.0043291,24.897900980770498,55.00296889372624,0
116,UMM NAHAD FIRST,911,14127046.5755,15579.5718399,25.064940850742758,55.385619221275654,1
117,UMM NAHAD SECOND,912,8523799.066739999,14403.5447479,25.05605924871969,55.3381461737325,0
118,AL ROWAIYAH THIRD,814,59997992.6011,36114.1289693,25.11627716054616,55.46798769214438,0
119,MARSA DUBAI,392,8881162.51242,13683.350335799998,25.084750818943014,55.135081834781396,5
120,NAKHLAT JUMEIRA,381,26741803.4319,22589.3826318,25.12067940828584,55.12856163397336,0
121,AL RAS,112,302711.324699,2712.99214762,25.26901102850375,55.29562583473755,15
122,AL DAGHAYA,113,176578.55202,1733.79033017,25.27262648415689,55.30003546533408,15
123,NADD AL HAMAR,416,8312233.5865,12989.912852299998,25.19777788066031,55.386297340726344,3
