,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Sector,CNAME_E,CNAME_A,Pop2017,Pop2018,Pop2019,Pop2019density,PopGrowth19by18,PopGrowthbinned,PopDensitybinned,Counter
24,134,5798825.86231,19110.862253400002,25.302069837270366,55.3490920489699,Sector 1,AL MAMZER,الممزر,13218.0,14178.0,14938.0,2576.038728303759,5.360417548314289,2 < x <= 20,1000 < x <= 10k,1
25,126,1273818.633,4637.54198399,25.28543748420701,55.329340660025814,Sector 1,ABU HAIL,ابو هيل,15878.0,16905.0,17240.0,13534.108823167137,1.9816622301094267,-2 < x <=2,10k < x <= 50k,1
26,245,2323827.2415,6776.960211300001,25.279124573727607,55.40894343207997,Sector 2,MUHAISANAH FOURTH,محيصنة الرابعة,27848.0,32346.0,34947.0,15038.553372600181,8.041179744017812,2 < x <= 20,10k < x <= 50k,1
27,246,925051.672642,4908.53400469,25.297894027826004,55.389347231579706,Sector 2,AL QUSAIS IND. THIRD,القصيص الصناعية الثالثة,2335.0,2559.0,2710.0,2929.566077384722,5.900742477530296,2 < x <= 20,1000 < x <= 10k,1
28,251,9350317.47587,12975.6480441,25.22296403623005,55.4218526266515,Sector 2,MURDAF,مردف,57668.0,60288.0,64355.0,6882.654002506165,6.745952760084917,2 < x <= 20,1000 < x <= 10k,1
29,357,1892794.5565,5986.16903086,25.159577629522552,55.22543412044793,Sector 3,AL SAFFA SECOND,الصفا الثانية,5643.0,6247.0,6679.0,3528.644974735271,6.915319353289573,2 < x <= 20,1000 < x <= 10k,1
30,226,2563983.9655,7385.43737699,25.271602422213803,55.36286357146612,Sector 2,AL TWAR FIRST,الطوار الأولى,10250.0,10957.0,11509.0,4488.717618698384,5.037875330838726,2 < x <= 20,1000 < x <= 10k,1
31,227,1110878.3395,4566.490443399999,25.26141690350875,55.38191977891579,Sector 2,AL TWAR SECOND,الطوار الثانية,4378.0,4577.0,4835.0,4352.411806117496,5.6368800524361,2 < x <= 20,1000 < x <= 10k,1
32,674,4176691.0287,8305.54742589,25.04687362448803,55.23756738382698,Sector 6,AL HEBIAH FIRST,الحبيه الأولى,8561.0,9672.0,10598.0,2537.415367135414,9.574028122415212,2 < x <= 20,1000 < x <= 10k,1
33,261,4973393.311000001,9272.09210084,25.244437087412482,55.41711299408254,Sector 2,MUHAISANAH FIRST,محيصنة الأولى,7023.0,7375.0,8091.0,1626.8570559470072,9.708474576271175,2 < x <= 20,1000 < x <= 10k,1
34,322,882341.245,4265.57638551,25.242551333888894,55.27917268125226,Sector 3,AL HUDAIBA,الحضيبة,12164.0,13034.0,14191.0,16083.346528813803,8.87678379622525,2 < x <= 20,10k < x <= 50k,1
35,731,34653078.9574,24244.6217879,25.059722055099005,55.60839214373789,Sector 7,LEHBAB FIRST,لهباب الأولى,2806.0,2921.0,3197.0,92.25731439131748,9.4488188976378,2 < x <= 20,10 < x <1000,1
36,847,35161166.3898,26547.1832778,24.86608368501615,55.59839342929889,Sector 8,UMM ESELAY,أم السلي,182.0,187.0,204.0,5.801855312148545,9.090909090909083,2 < x <= 20,0< x <= 10 ,1
37,118,747248.209,3795.1749341,25.272188796036144,55.3102201109891,Sector 1,NAIF,نايف,47497.0,48804.0,50090.0,67032.61298816977,2.635029915580689,2 < x <= 20, > 50k,1
38,511,23846527.606,24601.2216786,24.95659212885005,55.0213282216751,Sector 5,HESSYAN FIRST,حصيان الاولى,3231.0,3300.0,3492.0,146.43641446234636,5.818181818181811,2 < x <= 20,10 < x <1000,1
39,811,10441916.8509,15457.628060299998,25.152845776580747,55.46361845119055,Sector 8,WARSAN THIRD,ورسان الثالثة,13260.0,13316.0,13579.0,1300.4317304853478,1.975067587864232,-2 < x <=2,1000 < x <= 10k,1
40,266,2426490.143,6192.19181398,25.264136016176835,55.464280221327094,Sector 2,OUD AL MUTEEN SECOND ,عود المطينة الثانية ,4780.0,5047.0,5506.0,2269.1211072436654,9.094511591044174,2 < x <= 20,1000 < x <= 10k,1
41,115,73089.6975235,1397.45141963,25.269250288342427,55.30227890921035,Sector 1,AL SABKHA,السبخة,3750.0,3861.0,3969.0,54303.138944088205,2.7972027972027913,2 < x <= 20, > 50k,1
42,521,141835173.57299998,49060.5322731,24.90563693456137,55.15445662727495,Sector 5,MADINAT AL MATAAR,مدينة المطار,2183.0,2183.0,2697.0,19.015029432116872,23.545579477782862,20 < x <= 100,10 < x <1000,1
43,215,3646885.8155,7916.000112999999,25.23021001986388,55.368244115872116,Sector 2,UM RAMOOL,ام رمول,2829.0,3545.0,2935.0,804.7962421871445,-17.20733427362482,-20< x <= -2 ,10 < x <1000,1
44,283,10519148.5736,13392.0095017,25.21097947878715,55.53734573944228,Sector 2,AL AYAS,العياص,1690.0,1706.0,1757.0,167.02872743993353,2.9894490035170085,2 < x <= 20,10 < x <1000,1
45,369,4689056.9365,8718.60800086,25.116064362470656,55.23313467247366,Sector 3,AL GOZE IND. FOURTH ,القوز الصناعية الرابعة ,38240.0,38280.0,38079.0,8120.822697542862,-0.5250783699059514,-2 < x <=2,1000 < x <= 10k,1
46,324,795645.972999,4051.71075523,25.23442687328821,55.29699494362937,Sector 3,AL KIFAF,الكفاف,2.0,2.0,2.0,2.5136807925533406,0.0,-2 < x <=2,0< x <= 10 ,1
47,231,1696333.8623600001,7263.66566496,25.29015944157323,55.36426152433569,Sector 2,AL NAHDA FIRST,النهدة الأولى,23760.0,29011.0,31449.0,18539.3929213009,8.40370893798903,2 < x <= 20,10k < x <= 50k,1
48,119,654291.39101,3702.84455002,25.26695014795661,55.310716227939814,Sector 1,AL REGA,الرقة,9976.0,10279.0,10480.0,16017.328279105886,1.9554431364918745,-2 < x <=2,10k < x <= 50k,1
49,367,1847928.47344,5469.96326248,25.13136563746466,55.20449973712785,Sector 3,UM AL SHEIF,ام الشيف,3946.0,4097.0,4367.0,2363.1867048785916,6.5901879423968746,2 < x <= 20,1000 < x <= 10k,1
50,116,173100.0775,1686.75970564,25.274221658311586,55.303951755243226,Sector 1,AYAL NASIR,عيال ناصر,18512.0,18925.0,19280.0,111380.65492778302,1.8758256274768792,-2 < x <=2, > 50k,1
51,831,62307557.0067,39399.834321300004,25.027683651157915,55.56188494252486,Sector 8,LEHBAB SECOND,لهباب الثانية,1264.0,1363.0,1511.0,24.250669944217528,10.858400586940565,2 < x <= 20,10 < x <1000,1
52,317,1960287.9319999998,5810.5450137,25.249051047302352,55.294919143063744,Sector 3,AL MANKHOOL,المنخول,36808.0,37400.0,40091.0,20451.587415067555,7.195187165775407,2 < x <= 20,10k < x <= 50k,1
53,664,7811939.7189,13382.279683399998,25.051177997118288,55.2717241415596,Sector 6,WADI AL SAFA 6 (ARABIAN RANCHES),وادي الصفا 6 (المرابع العربية),12380.0,16179.0,18213.0,2331.4312008752386,12.571852401260886,2 < x <= 20,1000 < x <= 10k,1
54,735,15458746.5814,17454.2439879,25.070311906414,55.645756361452754,Sector 7,AL MERYAL,المريال,718.0,727.0,754.0,48.774976420611914,3.7138927097661645,2 < x <= 20,10 < x <1000,1
55,813,7485660.499739999,11694.680450799999,25.105291961139503,55.39808446614008,Sector 8,AL ROWAIYAH SECOND,الرويه الثانية,25.0,25.0,25.0,3.3397186528654794,0.0,-2 < x <=2,0< x <= 10 ,1
56,922,14349077.2492,16427.2421787,24.997130709029147,55.2901316086453,Sector 9,AL YALAYIS 2,اليلايس 2,217.0,217.0,1364.0,95.05837736541886,528.5714285714286, > 100,10 < x <1000,1
57,242,1437921.9045,5287.92130151,25.28668888290523,55.386574853717,Sector 2,AL QUSAIS IND. FIRST,القصيص الصناعية الأولى,8181.0,8362.0,9369.0,6515.652881202771,12.042573546998337,2 < x <= 20,1000 < x <= 10k,1
58,512,51898450.1316,41905.7022796,24.93162186177311,54.94820308454422,Sector 5,HESSYAN SECOND,حصيان الثانية,45.0,45.0,45.0,0.8670779163133494,0.0,-2 < x <=2,0< x <= 10 ,1
59,133,1377275.1565,4804.76205035,25.282602238762852,55.347374526209094,Sector 1,HOR AL ANZ EAST,هور العنز شرق,19961.0,20847.0,21218.0,15405.781408212019,1.7796325610399677,-2 < x <=2,10k < x <= 50k,1
60,111,611325.1339029999,3960.31529984,25.277837157981683,55.30255685689298,Sector 1,AL CORNICHE,الكورنيش,1550.0,1655.0,1735.0,2838.096953290482,4.8338368580060465,2 < x <= 20,1000 < x <= 10k,1
61,645,30192055.8013,29186.4146517,25.10811460152823,55.31549372007481,Sector 6,WADI AL SAFA 3,وادي الصفا 3,4895.0,9599.0,9764.0,323.3963286322353,1.718929055109908,-2 < x <=2,10 < x <1000,1
62,368,4402947.392,8766.27347181,25.125754536447676,55.21798387584786,Sector 3,AL GOZE IND. THIRD ,القوز الصناعية الثالثة ,23995.0,25360.0,26656.0,6054.126390070663,5.110410094637219,2 < x <= 20,1000 < x <= 10k,1
63,971,190161473.462,68235.0122663,24.736513821938814,55.420800784145214,Sector 9,SAIH AL DAHAL,سيح الدحل,16.0,16.0,16.0,0.08413901990088062,0.0,-2 < x <=2,0< x <= 10 ,1
64,617,6169341.6421,10239.581805,25.136203182072805,55.36420889065845,Sector 6,NAD AL SHIBBA FOURTH,ند الشبا الرابعة,2525.0,3505.0,3685.0,597.3084672201186,5.1355206847360835,2 < x <= 20,10 < x <1000,1
65,643,10531420.0915,13742.5327314,25.10044847275232,55.35289987571095,Sector 6,WADI AL SAFA 2,وادي الصفا 2,7865.0,9623.0,10519.0,998.8206631781763,9.311025667671213,2 < x <= 20,10 < x <1000,1
66,891,128751709.74200001,53110.4733717,24.81021325439707,56.13918037702839,Sector 8,HATTA,حتا,12769.0,13295.0,14045.0,109.08593002876754,5.641218503196699,2 < x <= 20,10 < x <1000,1
