,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital,Sector,Pop2017,Pop2018,Pop2019,Pop2019density,PopGrowth19by18,PopGrowthbinned,PopDensitybinned,Counter,HF_per_Pop,HF_per_k_Pop
25,ABU HAIL,126,1273818.633,4637.54198399,25.28543748420701,55.329340660025814,10,Sector 1,15878.0,16905.0,17240.0,13534.108823167137,1.9816622301094269,-2 < x <=2,10k < x <= 50k,1,0.000580046403712297,0.580046403712297
26,MUHAISANAH FOURTH,245,2323827.2415,6776.960211300001,25.279124573727607,55.40894343207997,4,Sector 2,27848.0,32346.0,34947.0,15038.553372600181,8.041179744017812,2 < x <= 20,10k < x <= 50k,1,0.00011445903797178584,0.11445903797178585
27,AL QUSAIS IND. THIRD,246,925051.672642,4908.53400469,25.297894027826004,55.389347231579706,7,Sector 2,2335.0,2559.0,2710.0,2929.566077384722,5.9007424775302955,2 < x <= 20,1000 < x <= 10k,1,0.0025830258302583027,2.5830258302583027
28,MIRDIF,251,9350317.47587,12975.6480441,25.22296403623005,55.4218526266515,5,Sector 2,57668.0,60288.0,64355.0,6882.654002506165,6.745952760084918,2 < x <= 20,1000 < x <= 10k,1,7.76940408670655e-05,0.0776940408670655
29,AL SAFA SECOND,357,1892794.5565,5986.16903086,25.159577629522552,55.22543412044793,14,Sector 3,5643.0,6247.0,6679.0,3528.644974735271,6.915319353289572,2 < x <= 20,1000 < x <= 10k,1,0.0020961221739781402,2.0961221739781406
30,AL TWAR FIRST,226,2563983.9655,7385.43737699,25.271602422213803,55.36286357146612,15,Sector 2,10250.0,10957.0,11509.0,4488.717618698383,5.037875330838727,2 < x <= 20,1000 < x <= 10k,1,0.001303327830393605,1.3033278303936051
31,AL TWAR SECOND,227,1110878.3395,4566.490443399999,25.26141690350875,55.38191977891579,7,Sector 2,4378.0,4577.0,4835.0,4352.411806117496,5.636880052436099,2 < x <= 20,1000 < x <= 10k,1,0.0014477766287487074,1.4477766287487073
32,AL HEBIAH FIRST,674,4176691.0287,8305.54742589,25.04687362448803,55.23756738382698,3,Sector 6,8561.0,9672.0,10598.0,2537.4153671354143,9.574028122415212,2 < x <= 20,1000 < x <= 10k,1,0.00028307227778826195,0.28307227778826194
33,MUHAISNAH FIRST,261,4973393.311000002,9272.09210084,25.244437087412482,55.41711299408254,5,Sector 2,7023.0,7375.0,8091.0,1626.8570559470072,9.708474576271175,2 < x <= 20,1000 < x <= 10k,1,0.000617970584600173,0.6179705846001731
34,AL HUDAIBA,322,882341.245,4265.57638551,25.242551333888887,55.27917268125226,19,Sector 3,12164.0,13034.0,14191.0,16083.346528813803,8.876783796225249,2 < x <= 20,10k < x <= 50k,1,0.0013388767528715382,1.3388767528715384
35,LEHBAB FIRST,731,34653078.9574,24244.6217879,25.059722055099005,55.60839214373789,0,Sector 7,2806.0,2921.0,3197.0,92.25731439131748,9.448818897637802,2 < x <= 20,10 < x <1000,1,0.0,0.0
36,UMM ESELAY,847,35161166.3898,26547.1832778,24.86608368501615,55.59839342929889,0,Sector 8,182.0,187.0,204.0,5.801855312148545,9.090909090909085,2 < x <= 20,0< x <= 10 ,1,0.0,0.0
37,NAIF,118,747248.209,3795.1749341,25.272188796036144,55.3102201109891,18,Sector 1,47497.0,48804.0,50090.0,67032.61298816977,2.635029915580689,2 < x <= 20, > 50k,1,0.00035935316430425236,0.35935316430425235
38,HESSYAN FIRST,511,23846527.606,24601.2216786,24.95659212885005,55.0213282216751,0,Sector 5,3231.0,3300.0,3492.0,146.4364144623464,5.818181818181811,2 < x <= 20,10 < x <1000,1,0.0,0.0
39,WARSAN THIRD,811,10441916.8509,15457.628060299998,25.152845776580747,55.46361845119055,0,Sector 8,13260.0,13316.0,13579.0,1300.4317304853478,1.975067587864232,-2 < x <=2,1000 < x <= 10k,1,0.0,0.0
