,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital,Sector,Pop2017,Pop2018,Pop2019,Pop2019density,PopGrowth19by18,PopGrowthbinned,PopDensitybinned,Counter,HF_per_Pop,HF_per_k_Pop
112,UMM NAHAD THIRD,913,15289681.7783,18436.7860307,25.03109830482727,55.420205143103544,0,Sector 9,2329.0,2329.0,1347.0,88.0986288355419,-42.164018892228434, x <= -20,10 < x <1000,1,0.0,0.0
113,AL YALAYIS 1,921,17795916.9415,17470.9032612,25.01789354651752,55.309760200784766,0,Sector 9,0.0,0.0,1114.0,62.59862886874668,99999.0, > 100,10 < x <1000,1,0.0,0.0
114,NAKHLAT DEIRA,101,99617653.635,43895.4066745,25.338911611952394,55.26261953434848,0,Sector 1,2.0,2.0,2.0,0.02007676277267098,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
115,SAIH SHUAIB 1,513,41613301.4166,28211.0043291,24.897900980770498,55.00296889372624,0,Sector 5,9.0,9.0,9.0,0.21627700022882115,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
116,UMM NAHAD FIRST,911,14127046.5755,15579.5718399,25.064940850742758,55.38561922127565,1,Sector 9,8.0,8.0,8.0,0.5662896315408272,0.0,-2 < x <=2,0< x <= 10 ,1,0.125,125.0
117,UMM NAHAD SECOND,912,8523799.066739999,14403.5447479,25.05605924871969,55.3381461737325,0,Sector 9,2.0,2.0,2.0,0.2346371593628987,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
118,AL ROWAIYAH THIRD,814,59997992.6011,36114.1289693,25.11627716054616,55.46798769214438,0,Sector 8,3800.0,4036.0,4429.0,73.81913640755373,9.737363726461833,2 < x <= 20,10 < x <1000,1,0.0,0.0
119,MARSA DUBAI,392,8881162.51242,13683.350335799998,25.08475081894301,55.135081834781396,5,Sector 3,52917.0,55052.0,61047.0,6873.762293464158,10.889704279590195,2 < x <= 20,1000 < x <= 10k,1,8.190410667190852e-05,0.08190410667190853
120,NAKHLAT JUMEIRA,381,26741803.4319,22589.3826318,25.12067940828584,55.12856163397336,0,Sector 3,12711.0,22333.0,24448.0,914.2240560648296,9.47029060135225,2 < x <= 20,10 < x <1000,1,0.0,0.0
121,AL RAS,112,302711.324699,2712.99214762,25.26901102850375,55.29562583473755,15,Sector 1,6621.0,7314.0,7460.0,24643.94091439369,1.996171725458029,-2 < x <=2,10k < x <= 50k,1,0.0020107238605898124,2.0107238605898123
122,AL DAGHAYA,113,176578.55202,1733.79033017,25.27262648415689,55.30003546533408,15,Sector 1,14963.0,15453.0,15899.0,90039.24779153934,2.8861709700381817,2 < x <= 20, > 50k,1,0.0009434555632429713,0.9434555632429713
123,NADD AL HAMAR,416,8312233.5865,12989.912852299998,25.19777788066031,55.386297340726344,3,Sector 4,13013.0,13589.0,14216.0,1710.2503018067707,4.614026050482001,2 < x <= 20,1000 < x <= 10k,1,0.00021102982554867754,0.21102982554867755
124,GHADEER BARASHY,967,70858924.2794,33492.8989064,24.806269117795612,55.323227417095254,0,Sector 9,7.0,7.0,7.0,0.09878783895164253,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
125,AL LAYAN 1,987,28336104.5162,21453.7602442,24.793423118833214,55.12179581907812,0,Sector 9,10.0,10.0,10.0,0.35290665992154685,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
126,AL TWAR THIRD,228,2967446.3710000007,6813.56925271,25.24954080621591,55.39587739812208,4,Sector 2,9851.0,10217.0,10655.0,3590.62933845351,4.286972692571212,2 < x <= 20,1000 < x <= 10k,1,0.00037541060534960113,0.37541060534960113
127,AL HEBIAH FIFTH,683,8093323.53263,11621.0727302,25.00775674169941,55.23871433946884,0,Sector 6,5949.0,8919.0,9748.0,1204.4495639768768,9.294763986994047,2 < x <= 20,1000 < x <= 10k,1,0.0,0.0
128,MARGAB,857,34633828.8366,24347.0074851,24.81078200677259,55.608821083217705,0,Sector 8,539.0,570.0,628.0,18.13256059452336,10.175438596491237,2 < x <= 20,10 < x <1000,1,0.0,0.0
129,REMAH,851,82867940.6307,36841.28565,24.83811756171844,55.67114622926986,0,Sector 8,232.0,232.0,232.0,2.7996351572667315,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
130,AL QUSAIS SECOND,233,1791180.188,5345.32662446,25.269362123399556,55.387207900415795,7,Sector 2,11144.0,11442.0,12473.0,6963.565186552856,9.010662471595877,2 < x <= 20,1000 < x <= 10k,1,0.0005612122183917261,0.5612122183917261
131,AL YALAYIS 4,924,13235536.979,14984.5129599,24.96585085347894,55.32006244858411,0,Sector 9,8.0,8.0,8.0,0.6044333533798516,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
132,RAS AL KHOR IND. SECOND,613,4173756.228,8234.96044565,25.17752503179924,55.35751136724246,3,Sector 6,2097.0,2352.0,2514.0,602.3351299567081,6.887755102040828,2 < x <= 20,10 < x <1000,1,0.0011933174224343676,1.1933174224343674
133,AL BUTEEN,114,147788.087322,1571.08872108,25.268688816400644,55.2997463399181,18,Sector 1,2563.0,2766.0,2841.0,19223.47092705816,2.7114967462039012,2 < x <= 20,10k < x <= 50k,1,0.006335797254487857,6.335797254487856
134,WADI ALSHABAK,431,10541064.6533,13832.63591,25.176204521804948,55.484036991528654,2,Sector 4,50.0,55.0,55.0,5.21768927608101,0.0,-2 < x <=2,0< x <= 10 ,1,0.03636363636363636,36.36363636363637
135,WADI AL SAFA 7,665,8407907.41113,12827.3568919,25.039820218627852,55.285584544136476,1,Sector 6,6492.0,7740.0,8473.0,1007.7418298854996,9.47028423772609,2 < x <= 20,1000 < x <= 10k,1,0.00011802195208308746,0.11802195208308745
136,AL BARSHA FIRST,373,3954266.281,9408.60209789,25.111030625085498,55.19497811257674,5,Sector 3,33345.0,35469.0,39451.0,9976.819262162378,11.22670501000873,2 < x <= 20,1000 < x <= 10k,1,0.00012673949963245545,0.12673949963245545
137,BURJ KHALIFA,345,2660075.4591900003,6788.52186503,25.19516818186388,55.27571206284586,9,Sector 3,13201.0,18698.0,20477.0,7697.901925772923,9.514386565408063,2 < x <= 20,1000 < x <= 10k,1,0.00043951750744737996,0.43951750744738
138,BUSINESS BAY,346,6586257.00525,12890.6678136,25.183161529377433,55.27074463038903,9,Sector 3,14935.0,19715.0,21179.0,3215.635220902845,7.425817905148357,2 < x <= 20,1000 < x <= 10k,1,0.00042494924217385143,0.42494924217385144
139,ZAA'BEEL FIRST,325,4120079.3465,8793.46450571,25.223655837447005,55.30538572056361,32,Sector 3,2861.0,3062.0,3260.0,791.246897409722,6.466361854996737,2 < x <= 20,10 < x <1000,1,0.0098159509202454,9.815950920245399
140,ME'AISEM SECOND,686,10430083.9815,15227.3447856,24.99629333657001,55.218464085836686,0,Sector 6,11.0,11.0,12.0,1.1505180611474064,9.090909090909085,2 < x <= 20,0< x <= 10 ,1,0.0,0.0
141,AL BARSHA SOUTH FIRST,671,5900197.1915,11324.767355,25.086661354166626,55.23095868493998,3,Sector 6,11194.0,13267.0,13717.0,2324.837552846729,3.391874576015685,2 < x <= 20,1000 < x <= 10k,1,0.00021870671429612888,0.2187067142961289
142,AL QUSAIS IND. FIFTH,248,2395554.953,6652.78840519,25.286586455305546,55.41457191565026,2,Sector 2,600.0,1286.0,1613.0,673.3304105505944,25.427682737169512,20 < x <= 100,10 < x <1000,1,0.0012399256044637321,1.2399256044637321
143,ZAA'BEEL SECOND,337,10792102.1947,15494.2797439,25.202565086223537,55.29632261909079,6,Sector 3,6806.0,7509.0,8102.0,750.7341807770214,7.897190038620327,2 < x <= 20,10 < x <1000,1,0.0007405578869414959,0.7405578869414959
144,AL WASL,343,4872908.6453800015,9605.82182453,25.19639371305704,55.25505369097882,15,Sector 3,10736.0,11156.0,11555.0,2371.273676750596,3.5765507350304704,2 < x <= 20,1000 < x <= 10k,1,0.0012981393336218088,1.2981393336218088
145,UMM AL MO'MENEEN,835,32691452.4566,24767.184419,24.99114436818488,55.5122297254845,1,Sector 8,294.0,309.0,309.0,9.45201197194335,0.0,-2 < x <=2,0< x <= 10 ,1,0.003236245954692557,3.236245954692557
146,JABAL ALI INDUSTRIAL SECOND,518,32565002.0182,23489.8501786,24.95468835857719,55.105032069683546,1,Sector 5,23000.0,23000.0,23000.0,706.2797044245755,0.0,-2 < x <=2,10 < x <1000,1,4.347826086956522e-05,0.043478260869565216
147,MARGHAM,841,152594542.121,50952.1583284,24.94565033754689,55.588202630842105,0,Sector 8,888.0,930.0,1005.0,6.586080904539063,8.064516129032251,2 < x <= 20,0< x <= 10 ,1,0.0,0.0
148,AL HEBIAH THIRD,676,4304796.0996699985,8650.08138354,25.022449446265373,55.25454674666273,1,Sector 6,1470.0,6250.0,6845.0,1590.0869266548373,9.519999999999996,2 < x <= 20,1000 < x <= 10k,1,0.00014609203798392987,0.14609203798392986
149,AL WARQA'A FIRST,421,2356626.8865,6217.99155894,25.18750620032887,55.4028052962689,4,Sector 4,16776.0,21696.0,24679.0,10472.17111091039,13.749078171091455,2 < x <= 20,10k < x <= 50k,1,0.00016208112160136148,0.16208112160136148
150,AL SELAL,961,170670828.433,52428.48285269999,24.891089047021474,55.27569792700118,0,Sector 9,658.0,660.0,665.0,3.8963893601832376,0.7575757575757569,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
151,AL BARSHA SOUTH THIRD,673,3743682.722,8291.53259462,25.060672016813673,55.23651196613646,4,Sector 6,2784.0,4566.0,6929.0,1850.851291238243,51.7520805957074,20 < x <= 100,1000 < x <= 10k,1,0.0005772838793476692,0.5772838793476692
152,MUSHRAIF,252,10472738.8101,15015.4572394,25.2113824484829,55.450032587852974,4,Sector 2,63.0,63.0,67.0,6.397562396513185,6.349206349206349,2 < x <= 20,0< x <= 10 ,1,0.05970149253731343,59.701492537313435
153,RAS AL KHOR,413,7793549.1551600015,12420.9268956,25.19400533500865,55.32780247262788,3,Sector 4,2.0,2.0,2.0,0.25662249126584746,0.0,-2 < x <=2,0< x <= 10 ,1,1.5,1500.0
154,AL MIZHAR FIRST,262,6864620.9595,10735.8777795,25.24492854342507,55.441639323845045,6,Sector 2,15182.0,15806.0,16552.0,2411.203779153103,4.7197266860685705,2 < x <= 20,1000 < x <= 10k,1,0.0003624939584340261,0.3624939584340261
155,ME'AISEM FIRST,685,16423985.395,16671.060614899998,25.020491270780575,55.18787818623929,0,Sector 6,10021.0,17413.0,18002.0,1096.0798836000183,3.3825302934589185,2 < x <= 20,1000 < x <= 10k,1,0.0,0.0
156,AL YUFRAH 1,915,17499991.415999994,19106.4038112,25.00241416315309,55.43254840864607,0,Sector 9,403.0,403.0,403.0,23.028582724420236,0.0,-2 < x <=2,10 < x <1000,1,0.0,0.0
157,AL BARSHA SOUTH FIFTH,684,2951378.61807,10868.9366587,25.04485704007634,55.18668768869522,0,Sector 6,5145.0,6753.0,7384.0,2501.88164771236,9.343995261365313,2 < x <= 20,1000 < x <= 10k,1,0.0,0.0
158,AL KHWANEEJ FIRST,281,16411872.5613,16552.0361657,25.24471505110885,55.48710216165145,2,Sector 2,11169.0,12241.0,12893.0,785.5898193118028,5.326362225308402,2 < x <= 20,10 < x <1000,1,0.0001551229349259288,0.1551229349259288
159,AL BARSHA THIRD,375,4946791.4525,10125.6919843,25.09215370710051,55.19869307299563,6,Sector 3,11680.0,13990.0,14601.0,2951.610178072289,4.367405289492488,2 < x <= 20,1000 < x <= 10k,1,0.0004109307581672488,0.41093075816724883
160,AL MUTEENA,123,1113041.985,4318.7577921,25.27394692437164,55.32282215772934,20,Sector 1,42804.0,43473.0,46185.0,41494.39160644061,6.238354840935756,2 < x <= 20,10k < x <= 50k,1,0.0004330410306376529,0.4330410306376529
161,TRADE CENTER FIRST,335,834875.9415,7303.94838394,25.218798395174346,55.27891163334001,14,Sector 3,14499.0,15355.0,16519.0,19786.173225115028,7.5805926408335935,2 < x <= 20,10k < x <= 50k,1,0.0008475089291119317,0.8475089291119318
162,AL QUSAIS FIRST,232,2731428.711,6803.77605807,25.27807150372436,55.372451948436314,12,Sector 2,41225.0,41818.0,45657.0,16715.428016162492,9.180257305466544,2 < x <= 20,10k < x <= 50k,1,0.000262829358039293,0.26282935803929297
163,AL QOUZ IND.SECOND,365,5051233.367,9103.38964403,25.13400298187309,55.24791395555497,7,Sector 3,157966.0,158543.0,159978.0,31671.07681960322,0.905117223718488,-2 < x <=2,10k < x <= 50k,1,4.3756016452262186e-05,0.04375601645226219
164,AL WARQA'A FOURTH,424,5145410.9595,9230.89818575,25.18625489068643,55.437426846416685,2,Sector 4,11682.0,12910.0,13452.0,2614.3684354625752,4.198295894655302,2 < x <= 20,1000 < x <= 10k,1,0.0001486767766874814,0.14867677668748142
165,AL BARSHA SOUTH FOURTH,681,6803189.215,10100.3133961,25.058397173521772,55.20884578062583,0,Sector 6,15214.0,25297.0,25974.0,3817.915271668657,2.676206664821912,2 < x <= 20,1000 < x <= 10k,1,0.0,0.0
166,AL RAFFA,316,1228290.5805,5176.3007187,25.25442202827949,55.288250885159854,20,Sector 3,41266.0,42904.0,47140.0,38378.54067138636,9.873205295543544,2 < x <= 20,10k < x <= 50k,1,0.00042426813746287653,0.42426813746287656
167,DUBAI INT'L AIRPORT,221,14180715.881,18275.2777603,25.251902859157077,55.36792018539773,14,Sector 2,22.0,22.0,22.0,1.5514026361304265,0.0,-2 < x <=2,0< x <= 10 ,1,0.6363636363636364,636.3636363636364
168,AL SATWA,334,2692886.2335,8492.47964949,25.21994963935096,55.273432014635276,13,Sector 3,40228.0,41048.0,38991.0,14479.260027751929,-5.011206392516076,-20< x <= -2 ,10k < x <= 50k,1,0.0003334102741658331,0.33341027416583313
169,BU KADRA,611,1745153.07612,5529.75452435,25.176762909538283,55.325844020429145,3,Sector 6,15.0,15.0,16.0,9.168250177556235,6.666666666666665,2 < x <= 20,0< x <= 10 ,1,0.1875,187.5
170,AL MIZHAR SECOND,263,4306286.2295,8811.9177295,25.242970699930677,55.46039901798005,3,Sector 2,10463.0,10781.0,11317.0,2628.018528465073,4.9717094889156765,2 < x <= 20,1000 < x <= 10k,1,0.0002650879208270743,0.26508792082707433
171,WARSAN SECOND,622,8626151.823660001,12691.4816354,25.1586779361202,55.43688729393313,0,Sector 6,764.0,1524.0,1568.0,181.77282663855445,2.8871391076115582,2 < x <= 20,10 < x <1000,1,0.0,0.0
172,AL SAFOUH SECOND,382,4279072.41584,9678.808922,25.101707733718747,55.16172702291635,9,Sector 3,5592.0,5592.0,6126.0,1431.6186791612033,9.549356223175963,2 < x <= 20,1000 < x <= 10k,1,0.0014691478942213516,1.4691478942213516
173,UMM HURAIR SECOND,315,3397079.15447,9197.75642187,25.23642951571652,55.32374054349637,38,Sector 3,4579.0,4867.0,5328.0,1568.4061977152414,9.471953975755088,2 < x <= 20,1000 < x <= 10k,1,0.007132132132132132,7.132132132132132
174,AL WARQA'A FIFTH,425,4252120.37,8301.73739694,25.18025538034898,55.45388027925236,2,Sector 4,60.0,60.0,60.0,14.11060712752118,0.0,-2 < x <=2,10 < x <1000,1,0.03333333333333333,33.333333333333336
175,AL JADAF,326,7240334.25468,13184.2038157,25.21643932604741,55.32768690818115,27,Sector 3,1053.0,4197.0,5104.0,704.9398301882102,21.61067429116035,20 < x <= 100,10 < x <1000,1,0.005289968652037617,5.289968652037618
176,DUBAI INVESTMENT PARK SECOND,597,18774204.2925,17568.8918382,24.974032111476504,55.2104462017768,0,Sector 5,57998.0,59763.0,60630.0,3229.4311415488714,1.4507303850208375,-2 < x <=2,1000 < x <= 10k,1,0.0,0.0
177,AL KHEERAN,412,6313593.76845,13348.0279967,25.218427518905287,55.359357737384975,2,Sector 4,3687.0,4641.0,4982.0,789.0909967783832,7.347554406377933,2 < x <= 20,10 < x <1000,1,0.0004014452027298274,0.40144520272982737
178,MUHAISANAH SECOND,264,5577576.8610000005,9912.01660727,25.26424758702673,55.421978562990105,1,Sector 2,202918.0,197838.0,196316.0,35197.363459515385,-0.7693163093035693,-2 < x <=2,10k < x <= 50k,1,5.093828317610383e-06,0.005093828317610383
179,AL HEBIAH SIXTH,677,3268265.38822,8728.07331555,25.017265391634933,55.26760243239791,0,Sector 6,0.0,1759.0,2322.0,710.4686199503017,32.006822057987485,20 < x <= 100,10 < x <1000,1,0.0,0.0
180,JUMEIRA ISLAND 2,304,116673.336017,1797.92202689,25.19831729801063,55.2261844567985,11,Sector 3,3.0,3.0,3.0,25.712815819056395,0.0,-2 < x <=2,10 < x <1000,1,3.6666666666666665,3666.6666666666665
181,UMM HURAIR FIRST,314,984710.391277,4573.28199772,25.25385241374033,55.31212712712714,46,Sector 3,5118.0,5351.0,5856.0,5946.926174309763,9.437488319940199,2 < x <= 20,1000 < x <= 10k,1,0.007855191256830601,7.855191256830601
182,AL SAFOUH FIRST,372,5871946.7175400015,10897.518018,25.12044033188613,55.1830275720953,6,Sector 3,3445.0,4112.0,4435.0,755.2861450108667,7.855058365758749,2 < x <= 20,10 < x <1000,1,0.0013528748590755355,1.3528748590755355
183,JUMEIRA SECOND,342,3342284.5614,9457.35034016,25.200868374460587,55.2402695080548,15,Sector 3,8001.0,9380.0,10079.0,3015.60199762828,7.452025586353939,2 < x <= 20,1000 < x <= 10k,1,0.0014882428812382181,1.488242881238218
184,TRADE CENTER SECOND,336,1379918.9007700002,8920.12803696,25.21766339099511,55.282700784404994,15,Sector 3,11755.0,12155.0,12218.0,8854.143524798674,0.5183052241875874,-2 < x <=2,1000 < x <= 10k,1,0.0012276968407267965,1.2276968407267965
185,WARSAN FOURTH,624,7865352.8044,12740.1077556,25.14292046499517,55.405486978108904,2,Sector 6,4723.0,8359.0,8994.0,1143.4960673307135,7.596602464409607,2 < x <= 20,1000 < x <= 10k,1,0.00022237046920169,0.22237046920169
186,AL YALAYIS 5,925,25164171.913000006,20113.0846537,24.97220496400876,55.26604093810234,0,Sector 9,97.0,100.0,100.0,3.973903864022612,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
187,MUHAISANAH FIFTH,267,1961509.1155,5797.20082872,25.279277870608805,55.43328579398504,3,Sector 2,2.0,2.0,2.0,1.0196230974385192,0.0,-2 < x <=2,0< x <= 10 ,1,1.5,1500.0
188,RAS AL KHOR IND. THIRD,614,5448028.0465,9603.37696726,25.173666959072552,55.38182969953145,4,Sector 6,21238.0,21500.0,21834.0,4007.688619376126,1.5534883720930148,-2 < x <=2,1000 < x <= 10k,1,0.0001832005129614363,0.1832005129614363
189,DUBAI INVESTMENT PARK FIRST,598,17167002.8834,16628.1438982,24.98818332963252,55.16507721674868,2,Sector 5,67575.0,69000.0,69956.0,4075.026984916828,1.3855072463768048,-2 < x <=2,1000 < x <= 10k,1,2.8589399050831953e-05,0.02858939905083195
190,SAIH SHUAIB 4,533,19368410.9563,18196.5821614,24.823718064427265,55.09608000051506,0,Sector 5,11170.0,11170.0,11170.0,576.7122571491448,0.0,-2 < x <=2,10 < x <1000,1,0.0,0.0
191,LE HEMAIRA,826,36413376.7332,30666.9998996,25.034581424030534,55.49441637895008,0,Sector 8,51.0,53.0,53.0,1.4555090671301874,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
192,AL MANARA,363,2194559.62862,6193.80251899,25.14423216723838,55.214494563780576,9,Sector 3,7342.0,7709.0,8271.0,3768.8654671921736,7.290180308730054,2 < x <= 20,1000 < x <= 10k,1,0.001088139281828074,1.088139281828074
193,AL THANYAH FIFTH,393,9714165.18111,17231.774223900004,25.055814550850023,55.15426452926243,4,Sector 3,28012.0,37067.0,40586.0,4178.022428414421,9.493619661693684,2 < x <= 20,1000 < x <= 10k,1,9.855615236781156e-05,0.09855615236781157
194,AL THANYAH FIRST,383,1069719.845,4163.72672303,25.098330655281742,55.17585099423646,7,Sector 3,20007.0,22638.0,24834.0,23215.424221656842,9.700503578054606,2 < x <= 20,10k < x <= 50k,1,0.0002818716276073126,0.28187162760731255
195,NADD SHAMMA,213,1092960.7335,4778.47839219,25.216576327409378,55.384216711147296,4,Sector 2,2790.0,2964.0,3124.0,2858.291157447149,5.3981106612685625,2 < x <= 20,1000 < x <= 10k,1,0.0012804097311139564,1.2804097311139564
196,NAKHLAT JABAL ALI,501,58101543.4134,27733.5251132,25.008927300510354,54.98758825673599,0,Sector 5,5.0,5.0,5.0,0.08605623372901393,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
197,AL SHINDAGHA,311,310840.284844,3577.12151134,25.266817771100346,55.289105073477344,15,Sector 3,2.0,2.0,2.0,6.4341724593507275,0.0,-2 < x <=2,0< x <= 10 ,1,7.5,7500.0
198,JABAL ALI FIRST,591,21323936.1671,19717.7186612,25.033914107916107,55.1332896658809,3,Sector 5,67765.0,69115.0,75287.0,3530.633341332068,8.930044129349637,2 < x <= 20,1000 < x <= 10k,1,3.984751683557586e-05,0.039847516835575865
199,AL BARSHA SOUTH SECOND,672,4767353.328,9516.22108021,25.07294707600615,55.233786060020456,4,Sector 6,4410.0,7057.0,7509.0,1575.087786318992,6.404987955221776,2 < x <= 20,1000 < x <= 10k,1,0.0005326941004128379,0.5326941004128379
200,AL MERKADH,347,10355202.6476,14582.0520424,25.17041080340519,55.29250216913851,2,Sector 3,7.0,819.0,1317.0,127.1824458505636,60.80586080586082,20 < x <= 100,10 < x <1000,1,0.0015186028853454822,1.5186028853454823
201,AL YUFRAH 2,916,4331598.8317,8918.65464649,24.990529915711413,55.387667077034294,0,Sector 9,2.0,2.0,58.0,13.3899749846495,2800.0, > 100,10 < x <1000,1,0.0,0.0
202,MADINAT DUBAI AL MELAHEYAH,321,22091345.7586,21304.9448646,25.274531182487486,55.269891923932285,6,Sector 3,8294.0,14129.0,15172.0,686.784778337628,7.381980324156,2 < x <= 20,10 < x <1000,1,0.00039546533087266017,0.39546533087266017
203,AL YUFRAH 3,918,11109840.8416,17297.0212197,24.98653979498292,55.36346093712165,0,Sector 9,4.0,4.0,4.0,0.3600411614379108,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
204,AL SOUQ AL KABEER,312,874944.9831709998,4433.15867152,25.262251050065988,55.29369782222706,19,Sector 3,44783.0,46929.0,51012.0,58303.09445871772,8.700377165505335,2 < x <= 20, > 50k,1,0.00037246138163569357,0.3724613816356936
205,NADD AL SHIBA FIRST,618,21673127.8304,19993.8117592,25.145974182066716,55.31671669226394,3,Sector 6,3633.0,5485.0,5948.0,274.4412364724295,8.4412032816773,2 < x <= 20,10 < x <1000,1,0.0005043712172158709,0.5043712172158709
206,AL AWIR FIRST,711,39716134.689,35058.0810308,25.199295071803444,55.571625108265685,0,Sector 7,2983.0,3587.0,4107.0,103.40885466725685,14.496793978254807,2 < x <= 20,10 < x <1000,1,0.0,0.0
207,OUD AL MUTEENA FIRST,265,3628020.766,8689.16453474,25.26400736807841,55.44543437686973,3,Sector 2,12068.0,12510.0,14672.0,4044.078285741543,17.282174260591532,2 < x <= 20,1000 < x <= 10k,1,0.0002044711014176663,0.2044711014176663
208,JABAL ALI SECOND,592,5059596.0639,10664.7225181,25.05397917886128,55.11528187107477,3,Sector 5,1539.0,1561.0,1570.0,310.30145097982864,0.5765534913517056,-2 < x <=2,10 < x <1000,1,0.001910828025477707,1.910828025477707
209,AL WARQA'A THIRD,423,6220073.248,11601.4338877,25.19115406509533,55.42195130791831,3,Sector 4,11980.0,14208.0,14728.0,2367.817775254598,3.65990990990992,2 < x <= 20,1000 < x <= 10k,1,0.00020369364475828354,0.20369364475828355
210,AL KHEERAN FIRST,415,7334275.12402,11543.4777434,25.19757845369391,55.35767521748997,3,Sector 4,2.0,2.0,587.0,80.03517594773001,29250.0, > 100,10 < x <1000,1,0.005110732538330494,5.1107325383304945
211,AL MARMOOM,917,27326474.0172,24214.0171757,24.975619474474104,55.45176566912071,0,Sector 9,75.0,79.0,94.0,3.4398876320755445,18.98734177215189,2 < x <= 20,0< x <= 10 ,1,0.0,0.0
212,AL BARSHA SECOND,376,6411368.0465,10209.099291,25.100854397096967,55.21496955495408,5,Sector 3,12800.0,14815.0,15523.0,2421.168132513324,4.7789402632467,2 < x <= 20,1000 < x <= 10k,1,0.00032210268633640405,0.32210268633640404
213,JABAL ALI THIRD,593,365014170.612,122334.492899,25.12625279651073,54.947060105859975,0,Sector 5,1513.0,1513.0,1513.0,4.1450445539230225,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
214,AL KHABAISI,128,1226749.013,5559.09171857,25.268728879013747,55.3375453170401,23,Sector 1,1775.0,1952.0,1992.0,1623.8040372484893,2.049180327868849,2 < x <= 20,1000 < x <= 10k,1,0.011546184738955823,11.546184738955823
215,AL MURAR,117,387711.066,2782.85204781,25.27689263146278,55.30982800574198,10,Sector 1,37371.0,38294.0,38970.0,100512.99386951211,1.7652896015041497,-2 < x <=2, > 50k,1,0.00025660764690787786,0.25660764690787785
216,HADAEQ SHEIKH MOHAMMED BIN RASHID,631,38677198.8453,35079.3628178,25.098246398441137,55.2687696967083,2,Sector 6,51.0,68.0,1563.0,40.41140637541113,2198.5294117647063, > 100,10 < x <1000,1,0.0012795905310300703,1.2795905310300704
217,AL HAMRIYA PORT,131,1150984.31619,5277.18258262,25.3007121182696,55.33339017915333,9,Sector 1,460.0,468.0,481.0,417.9031749035566,2.777777777777768,2 < x <= 20,10 < x <1000,1,0.018711018711018712,18.71101871101871
218,UMM NAHAD FOURTH,914,46008453.1147,28727.0025501,25.02653714994781,55.36669087828805,0,Sector 9,4.0,4.0,4.0,0.08694054525215007,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
219,AL AWIR SECOND,721,54944834.2494,33677.9952932,25.164395222422772,55.58558308287962,0,Sector 7,4621.0,4870.0,5236.0,95.29558277004317,7.5154004106776195,2 < x <= 20,10 < x <1000,1,0.0,0.0
220,AL QOUZ IND.FIRST,364,4825398.4545,8843.46006275,25.14438143561766,55.232023764551506,9,Sector 3,26569.0,26569.0,26075.0,5403.698833550907,-1.8593097218562948,-2 < x <=2,1000 < x <= 10k,1,0.0003451581975071908,0.3451581975071908
221,JUMEIRA FIRST,332,9960424.67483,15279.0784101,25.229747463436265,55.25388871626743,9,Sector 3,17083.0,18843.0,20356.0,2043.6879615624848,8.029506978718892,2 < x <= 20,1000 < x <= 10k,1,0.0004421300844959717,0.4421300844959717
222,MEREIYEEL,821,30688142.3777,26755.1135353,25.095226482429428,55.51289656429359,0,Sector 8,1105.0,1119.0,1119.0,36.46359516414191,0.0,-2 < x <=2,10 < x <1000,1,0.0,0.0
223,PORT SAEED,129,2702123.35766,10392.4906323,25.25100645812056,55.33271844512805,40,Sector 1,12513.0,13266.0,13551.0,5014.94499190258,2.148349163274532,2 < x <= 20,1000 < x <= 10k,1,0.0029518116744151725,2.9518116744151723
224,JABAL ALI INDUSTRIAL FIRST,599,22065249.6621,19668.948471400006,24.999455158928818,55.12351891174232,3,Sector 5,129239.0,129024.0,128975.0,5845.1638651309595,-0.037977430555558016,-2 < x <=2,1000 < x <= 10k,1,2.3260321767784456e-05,0.023260321767784455
225,WADI ALAMARDI,271,24184196.9742,20723.4293973,25.203260674757427,55.49109670874484,1,Sector 2,3120.0,3193.0,3368.0,139.26449588518585,5.480739116818035,2 < x <= 20,10 < x <1000,1,0.0002969121140142518,0.29691211401425177
